year,round,name,safety_count,safety_start,safety_end
2020,15,Bahrain Grand Prix,1,1,1
2020,15,Bahrain Grand Prix,2,2,8
2020,15,Bahrain Grand Prix,3,55,57
2020,16,Sakhir Grand Prix,1,1,6
2020,16,Sakhir Grand Prix,2,55,56
2020,16,Sakhir Grand Prix,3,62,68
2020,17,Abu Dhabi Grand Prix,1,10,13
2021,1,Bahrain Grand Prix,1,1,5
2021,2,Emilia Romagna Grand Prix,1,1,6
2021,2,Emilia Romagna Grand Prix,2,32,33
2021,2,Emilia Romagna Grand Prix,3,34,34
2021,3,Portuguese Grand Prix,1,2,6
2021,4,Spanish Grand Prix,1,8,10
2021,6,Azerbaijan Grand Prix,1,30,35
2021,6,Azerbaijan Grand Prix,2,47,48
2021,6,Azerbaijan Grand Prix,3,49,49
2021,9,Austrian Grand Prix,1,1,3
2021,10,British Grand Prix,1,1,2
2021,10,British Grand Prix,2,3,3
2021,11,Hungarian Grand Prix,1,1,2
2021,11,Hungarian Grand Prix,2,3,3
2021,12,Belgian Grand Prix,1,1,1
2021,14,Italian Grand Prix,1,1,1
2021,14,Italian Grand Prix,2,26,30
2021,14,Italian Grand Prix,3,44,44
2021,17,United States Grand Prix,1,28,28
2021,18,Russian Grand Prix,1,1,4
2021,19,Sao Paulo Grand Prix,1,6,9
2021,19,Sao Paulo Grand Prix,2,12,14
2021,19,Sao Paulo Grand Prix,3,30,30
2021,20,Qatar Grand Prix,1,55,56
2021,21,Saudi Arabian Grand Prix,1,10,13
2021,21,Saudi Arabian Grand Prix,2,14,15
2021,21,Saudi Arabian Grand Prix,3,16,16
2021,21,Saudi Arabian Grand Prix,4,23,24
2021,21,Saudi Arabian Grand Prix,5,29,33
2021,21,Saudi Arabian Grand Prix,6,36,36
2021,22,Abu Dhabi Grand Prix,1,36,37
2021,22,Abu Dhabi Grand Prix,2,53,57
2022,1,Bahrain Grand Prix,1,46,50
2022,2,Saudi Arabian Grand Prix,1,17,20
2022,2,Saudi Arabian Grand Prix,2,38,41
2022,3,Australian Grand Prix,1,3,6
2022,3,Australian Grand Prix,2,23,26
2022,3,Australian Grand Prix,3,39,40
2022,4,Emilia Romagna Grand Prix,1,1,4
2022,5,Miami Grand Prix,1,41,46
2022,7,Monaco Grand Prix,1,1,2
2022,7,Monaco Grand Prix,2,27,30
2022,7,Monaco Grand Prix,3,31,32
2022,8,Azerbaijan Grand Prix,1,9,10
2022,8,Azerbaijan Grand Prix,2,33,35
2022,9,Canadian Grand Prix,1,9,10
2022,9,Canadian Grand Prix,2,20,21
2022,9,Canadian Grand Prix,3,49,54
2022,10,British Grand Prix,1,1,1
2022,10,British Grand Prix,2,2,2
2022,10,British Grand Prix,3,39,42
2022,11,Austrian Grand Prix,1,58,59
2022,12,French Grand Prix,1,18,20
2022,12,French Grand Prix,2,50,50
2022,13,Hungarian Grand Prix,1,2,3
2022,13,Hungarian Grand Prix,2,68,69
2022,14,Belgian Grand Prix,1,2,4
2022,15,Dutch Grand Prix,1,48,50
2022,15,Dutch Grand Prix,2,56,60
2022,16,Italian Grand Prix,1,12,13
2022,16,Italian Grand Prix,2,48,53
2022,17,Singapore Grand Prix,1,8,10
2022,17,Singapore Grand Prix,2,22,23
2022,17,Singapore Grand Prix,3,26,30
2022,17,Singapore Grand Prix,4,36,39
2022,18,Japanese Grand Prix,1,2,3
2022,18,Japanese Grand Prix,2,4,5
2022,19,United States Grand Prix,1,18,25
2022,20,Mexico City Grand Prix,1,65,66
2022,21,Sao Paulo Grand Prix,1,1,6
2022,21,Sao Paulo Grand Prix,2,53,59
2023,1,Bahrain Grand Prix,1,41,42
